Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
203,George Hill,PG,36,TOT,36,0,18.8,1.6,3.7,0.447,0.6,2.1,0.311,1,1.6,0.621,0.534,0.9,1.3,0.739,0.4,1.5,1.9,2.5,0.6,0.1,0.8,1.1,4.9,hillge01
203,George Hill,PG,36,MIL,35,0,19.1,1.7,3.8,0.447,0.7,2.1,0.311,1,1.7,0.621,0.534,1,1.3,0.739,0.4,1.5,1.9,2.5,0.5,0.1,0.8,1.2,5,hillge01
203,George Hill,PG,36,IND,1,0,10,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,1,0,0,0,0,hillge01
204,Malcolm Hill,SF,27,CHI,5,0,1.8,0.4,0.8,0.5,0.2,0.6,0.333,0.2,0.2,1,0.625,0,0,,0,0.6,0.6,0,0,0,0,0.2,1,hillma01
205,Aaron Holiday,PG,26,ATL,51,5,14.3,1.5,3.7,0.415,0.6,1.5,0.413,0.9,2.2,0.416,0.497,0.5,0.5,0.857,0.4,0.9,1.3,1.3,0.5,0.2,0.6,1.3,4.1,holidaa01
206,Jrue Holiday,PG,32,MIL,51,49,32.8,7.5,15.9,0.472,2.4,6.4,0.377,5.1,9.6,0.536,0.547,2.3,2.7,0.861,1.2,4,5.1,7.2,1.2,0.4,2.9,1.8,19.8,holidjr01
207,Justin Holiday,SG,33,TOT,31,2,15.4,1.8,4.5,0.393,1.2,3.2,0.37,0.6,1.3,0.45,0.525,0,0.1,0,0.1,0.8,0.9,0.9,0.3,0.4,0.5,1.4,4.7,holidju01
207,Justin Holiday,SG,33,ATL,28,0,14.7,1.7,4.5,0.384,1.1,3.1,0.345,0.6,1.4,0.474,0.504,0,0,,0.1,0.8,0.8,0.9,0.2,0.4,0.4,1.3,4.5,holidju01
207,Justin Holiday,SG,33,DAL,3,2,21.7,2.3,5,0.467,2.3,4.3,0.538,0,0.7,0,0.7,0,0.7,0,0.3,1.3,1.7,1,1.3,1,0.7,1.7,7,holidju01
208,Richaun Holmes,C,29,SAC,35,1,8.7,1.3,2,0.681,0.1,0.1,0.75,1.3,1.9,0.677,0.703,0.4,0.5,0.824,0.7,1.3,2,0.1,0.1,0.3,0.4,1.3,3.2,holmeri01
209,Al Horford,C,36,BOS,49,49,30.8,3.6,7.5,0.481,2.2,5,0.44,1.4,2.6,0.56,0.626,0.3,0.4,0.737,1.2,5,6.2,2.7,0.5,0.9,0.6,2,9.7,horfoal01
210,Talen Horton-Tucker,SG,22,UTA,49,4,17.3,2.9,7.2,0.404,0.7,2.7,0.275,2.2,4.6,0.48,0.455,1.4,1.8,0.753,0.4,2.2,2.7,3,0.6,0.5,1.5,1.6,7.9,hortota01
211,Danuel House Jr.,SF,29,PHI,38,2,14.8,1.5,3.3,0.456,0.6,2,0.32,0.9,1.3,0.66,0.552,0.8,1.1,0.714,0.2,1.6,1.8,0.7,0.2,0.2,0.4,1.2,4.4,houseda01
212,Caleb Houstan,SF,20,ORL,35,2,15.8,1.4,3.5,0.407,0.9,2.5,0.384,0.5,1.1,0.459,0.541,0.3,0.4,0.846,0.7,1.5,2.2,0.5,0.2,0.1,0.3,1.4,4.1,houstca01
213,Trevor Hudgins,PG,23,HOU,5,0,5.6,0.4,1.8,0.222,0.4,1.6,0.25,0,0.2,0,0.333,0.6,0.6,1,0,0,0,0.6,0,0,0.2,0.2,1.8,hudgitr01
214,Kevin Huerter,SG,24,SAC,58,58,30.2,5.4,11.3,0.479,2.6,6.7,0.387,2.8,4.6,0.612,0.593,1.3,1.8,0.705,0.6,2.8,3.4,3,1.1,0.3,1.5,2.5,14.7,huertke01
215,De'Andre Hunter,SF,25,ATL,52,52,31.8,5.6,12.1,0.461,1.6,4.3,0.367,4,7.8,0.514,0.527,2.8,3.4,0.83,0.6,3.7,4.3,1.4,0.5,0.2,1.2,3,15.6,huntede01
216,Bones Hyland,PG,22,TOT,45,1,19.3,4,10.1,0.398,2.1,5.6,0.38,1.9,4.6,0.42,0.502,1.7,2,0.854,0.3,1.8,2.1,2.9,0.7,0.3,1.6,1.6,11.8,hylanbo01
216,Bones Hyland,PG,22,DEN,42,1,19.5,4.1,10.3,0.399,2.2,5.7,0.378,2,4.6,0.425,0.503,1.7,2,0.866,0.2,1.8,2,3,0.7,0.3,1.6,1.6,12.1,hylanbo01
216,Bones Hyland,PG,22,LAC,3,0,15.7,2.7,7,0.381,1.3,3,0.444,1.3,4,0.333,0.476,1.7,2.3,0.714,1.7,1.3,3,1.7,0.7,0,1,2.3,8.3,hylanbo01
217,Serge Ibaka,C,33,MIL,16,0,11.6,1.6,3.4,0.481,0.4,1.1,0.333,1.3,2.3,0.556,0.537,0.5,0.8,0.615,0.9,1.8,2.8,0.3,0.1,0.4,0.7,1.4,4.1,ibakase01
218,Andre Iguodala,SF,39,GSW,3,0,14,1,1.3,0.75,0.3,0.7,0.5,0.7,0.7,1,0.875,0,0,,0.3,2,2.3,1.7,0.3,0.3,1.7,1.7,2.3,iguodan01
219,Joe Ingles,SF,35,MIL,29,0,22.4,2.2,5.6,0.398,1.6,4.4,0.354,0.7,1.2,0.559,0.537,0.4,0.5,0.8,0.3,2.6,2.9,3,0.6,0.2,1.1,1.8,6.4,inglejo01
220,Brandon Ingram,SF,25,NOP,28,28,32.9,8.5,18.3,0.468,1.6,4.1,0.397,6.9,14.1,0.489,0.513,4.8,5.4,0.882,0.4,4.6,5.1,4.8,0.7,0.4,3.1,2.6,23.5,ingrabr01
221,Kyrie Irving,PG,30,TOT,47,47,36.9,9.8,20.1,0.487,3.2,8.5,0.374,6.6,11.6,0.57,0.566,3.9,4.4,0.894,1,4.1,5.1,5.5,1,0.8,2.2,2.8,26.7,irvinky01
221,Kyrie Irving,PG,30,BRK,40,40,37,10,20.5,0.486,3.3,8.7,0.374,6.7,11.8,0.569,0.565,4,4.5,0.883,1,4.2,5.1,5.3,1,0.8,2.3,2.7,27.1,irvinky01
221,Kyrie Irving,PG,30,DAL,7,7,36.9,9,18.3,0.492,2.9,7.6,0.377,6.1,10.7,0.573,0.57,3.9,4,0.964,1.6,3.6,5.1,6.9,1,0.6,2,3.3,24.7,irvinky01
222,Jonathan Isaac,PF,25,ORL,11,0,11.3,2,4.8,0.415,0.5,1.4,0.4,1.5,3.5,0.421,0.472,0.5,0.8,0.556,1.4,2.6,4,0.5,1.3,0.4,0.4,0.5,5,isaacjo01
223,Jaden Ivey,SG,20,DET,58,57,30.1,5.2,12.3,0.422,1.4,4.2,0.339,3.8,8.1,0.465,0.48,3.5,4.9,0.723,1,2.9,3.9,4.6,0.9,0.3,2.9,3.1,15.4,iveyja01
224,Isaiah Jackson,C,21,IND,45,5,15.3,2.6,4.6,0.573,0,0.3,0.167,2.6,4.3,0.598,0.578,1.5,2.3,0.648,1.4,2.5,3.9,0.9,0.4,1.5,0.9,2.2,6.8,jacksis01
225,Jaren Jackson Jr.,C,23,MEM,44,44,27.3,6,12.1,0.493,1.5,4.4,0.344,4.4,7.6,0.58,0.556,3.3,4.1,0.791,1.7,4.9,6.6,0.8,1.1,3.3,1.5,3.4,16.7,jacksja02
226,Justin Jackson,SF,27,BOS,23,0,4.7,0.3,1.2,0.259,0.2,0.9,0.25,0.1,0.3,0.286,0.352,0,0.1,0.5,0.1,0.7,0.7,0.4,0.2,0.2,0.1,0.3,0.9,jacksju01
227,Quenton Jackson,PG,24,WAS,3,0,2.7,0.7,1,0.667,0.3,0.7,0.5,0.3,0.3,1,0.833,0,0,,0.3,0,0.3,0.3,0,0,0,0.3,1.7,jacksqu01
228,Reggie Jackson,PG,32,TOT,56,38,25.3,4,9.8,0.412,1.5,4.3,0.347,2.5,5.5,0.463,0.488,1.1,1.3,0.914,0.4,1.8,2.2,3.6,0.8,0.1,1.8,1.8,10.7,jacksre01
228,Reggie Jackson,PG,32,LAC,52,38,25.7,4.1,9.8,0.418,1.5,4.2,0.35,2.6,5.6,0.469,0.493,1.2,1.3,0.924,0.4,1.8,2.2,3.5,0.7,0.1,1.8,1.8,10.9,jacksre01
228,Reggie Jackson,PG,32,DEN,4,0,20.3,2.8,8.5,0.324,1.5,4.8,0.316,1.3,3.8,0.333,0.412,0.8,1,0.75,0.3,1.3,1.5,4.3,1,0.3,0.8,1.8,7.8,jacksre01
229,LeBron James,PF,38,LAL,47,47,36.1,11.3,22.6,0.501,2.1,6.9,0.308,9.2,15.7,0.587,0.549,4.8,6.3,0.759,1.2,7.2,8.4,6.9,0.9,0.6,3.1,1.7,29.5,jamesle01
230,Ty Jerome,SG,25,GSW,40,2,18.4,2.8,5.6,0.509,0.8,2,0.405,2,3.6,0.566,0.581,0.9,0.9,0.919,0.2,1.5,1.7,3,0.5,0.1,0.7,1.5,7.3,jeromty01
231,Isaiah Joe,SG,23,OKC,54,5,16.8,2.9,6.1,0.479,2.2,4.9,0.449,0.7,1.2,0.6,0.66,0.9,1.1,0.823,0.3,2,2.3,1.1,0.6,0.1,0.5,1.5,9.1,joeis01
232,Alize Johnson,PF,26,SAS,4,0,7.5,0.8,1.5,0.5,0,0.5,0,0.8,1,0.75,0.5,0.3,0.5,0.5,0.5,2,2.5,0.3,0.3,0,1,0.8,1.8,johnsal02
233,Cameron Johnson,PF,26,TOT,24,23,26.3,5.4,11.2,0.485,2.8,6.5,0.426,2.7,4.7,0.566,0.608,1.8,2.2,0.811,0.7,3.1,3.8,1.5,1.1,0.4,0.6,1.8,15.4,johnsca02
233,Cameron Johnson,PF,26,PHO,17,16,25.2,4.8,10.2,0.474,2.6,5.8,0.455,2.2,4.4,0.5,0.604,1.6,1.9,0.818,0.8,3,3.8,1.5,0.9,0.4,0.6,1.7,13.9,johnsca02
233,Cameron Johnson,PF,26,BRK,7,7,28.9,6.9,13.6,0.505,3,8,0.375,3.9,5.6,0.692,0.616,2.3,2.9,0.8,0.3,3.3,3.6,1.3,1.6,0.4,0.7,2,19,johnsca02
234,Jalen Johnson,SF,21,ATL,57,6,14.3,2,4.2,0.479,0.4,1.4,0.284,1.6,2.8,0.579,0.527,0.7,1.1,0.661,0.7,3.1,3.8,0.9,0.5,0.5,0.5,1.4,5.2,johnsja05
